Title;OpenAlexConcepts
MAXIMUM LIKELIHOOD ESTIMATION AND INFERENCE ON COINTEGRATION — WITH APPLICATIONS TO THE DEMAND FOR MONEY;['Cointegration', 'Inference', 'Economics', 'Econometrics', 'Mathematical statistics', 'Mathematical economics', 'Statistics', 'Mathematics', 'Computer science', 'Artificial intelligence']
MAXIMUM LIKELIHOOD ESTIMATION AND INFERENCE ON COINTEGRATION — WITH APPLICATIONS TO THE DEMAND FOR MONEY;['Cointegration', 'Inference', 'Economics', 'Econometrics', 'Mathematical statistics', 'Mathematical economics', 'Statistics', 'Mathematics', 'Computer science', 'Artificial intelligence']
MAXIMUM LIKELIHOOD ESTIMATION AND INFERENCE ON COINTEGRATION — WITH APPLICATIONS TO THE DEMAND FOR MONEY;['Cointegration', 'Inference', 'Economics', 'Econometrics', 'Mathematical statistics', 'Mathematical economics', 'Statistics', 'Mathematics', 'Computer science', 'Artificial intelligence']
Indexing by latent semantic analysis;['Singular value decomposition', 'Latent semantic analysis', 'Computer science', 'Search engine indexing', 'Information retrieval', 'Set (abstract data type)', 'Basis (linear algebra)', 'Cosine similarity', 'Vector space model', 'Term (time)', 'Matrix (chemical analysis)', 'Data mining', 'Algorithm', 'Pattern recognition (psychology)', 'Mathematics', 'Artificial intelligence', 'Physics', 'Geometry', 'Materials science', 'Quantum mechanics', 'Composite material', 'Programming language']
Scale-space and edge detection using anisotropic diffusion;['Scale space', 'Smoothing', 'Anisotropic diffusion', 'Scale (ratio)', 'Computer science', 'Maxima and minima', 'Diffusion', 'Space (punctuation)', 'Class (philosophy)', 'Edge detection', 'Enhanced Data Rates for GSM Evolution', 'Boundary (topology)', 'Algorithm', 'Artificial intelligence', 'Computer vision', 'Image (mathematics)', 'Mathematics', 'Image processing', 'Mathematical analysis', 'Physics', 'Quantum mechanics', 'Thermodynamics', 'Operating system']
Backpropagation through time: what it does and how to do it;['Backpropagation', 'Computer science', 'Artificial neural network', 'Simple (philosophy)', 'Artificial intelligence', 'Focus (optics)', 'Identification (biology)', 'Code (set theory)', 'Theoretical computer science', 'Algorithm', 'Set (abstract data type)', 'Programming language', 'Philosophy', 'Physics', 'Botany', 'Epistemology', 'Optics', 'Biology']
Neural network ensembles;['Artificial intelligence', 'Artificial neural network', 'Computer science', 'Generalization', 'Residual', 'Machine learning', 'Pattern recognition (psychology)', 'Mathematics', 'Algorithm', 'Mathematical analysis']
Modeling of the Bacterial Growth Curve;['Gompertz function', 'Sigmoid function', 'Growth curve (statistics)', 'Mathematics', 'Lactobacillus plantarum', 'Logistic function', 'Richards equation', 'Applied mathematics', 'Statistics', 'Confidence interval', 'Growth model', 'Bacterial growth', 'Test (biology)', 'Biological system', 'Computer science', 'Artificial intelligence', 'Biology', 'Ecology', 'Bacteria', 'Lactic acid', 'Mathematical economics', 'Soil water', 'Artificial neural network', 'Genetics']
Linearizability: a correctness condition for concurrent objects;['Linearizability', 'Computer science', 'Correctness', 'Concurrency', 'Programming language', 'Concurrency control', 'Object (grammar)', 'Distributed computing', 'Theoretical computer science', 'Artificial intelligence', 'Database transaction']
The R*-tree: an efficient and robust access method for points and rectangles;['Tree (set theory)', 'Computer science', 'Rectangle', 'Testbed', 'Interval tree', 'Heuristic', 'Point (geometry)', 'Range tree', 'Algorithm', 'Theoretical computer science', 'Binary tree', 'Mathematics', 'Tree structure', 'Combinatorics', 'Artificial intelligence', 'Computer network', 'Geometry']
