Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
residual,OpenAIRE,residual,OpenAlex,1.0,252,392,201,0.45372460496614
deep learning,OpenAIRE,deep learning,OpenAlex,1.0,2555,2820,1700,0.4625850340136054
segmentation,OpenAIRE,segmentation,OpenAlex,1.0,1752,2408,1543,0.5896064195643868
artificial neural network,OpenAIRE,artificial neural network,OpenAlex,1.0,4968,7172,3749,0.4467882254796806
magnetotellurics,OpenAIRE,magnetotellurics,OpenAlex,1.0,8,7,7,0.875
multiple sequence alignment,OpenAIRE,multiple sequence alignment,OpenAlex,1.0,123,135,91,0.5449101796407185
backpropagation,OpenAIRE,backpropagation,OpenAlex,1.0,395,367,238,0.4541984732824427
theory of planned behavior,OpenAIRE,theory of planned behavior,OpenAlex,1.0,178,215,164,0.7161572052401747
psychology,OpenAIRE,psychology,OpenAlex,1.0,15018,27891,14244,0.4969126111983254
trainer,OpenAIRE,trainer,OpenAlex,1.0,9,17,8,0.4444444444444444
expectancy theory,OpenAIRE,expectancy theory,OpenAlex,1.0,44,78,38,0.4523809523809524
normative,OpenAIRE,normative,OpenAlex,1.0,239,371,203,0.4987714987714988
perception,OpenAIRE,perception,OpenAlex,1.0,2485,4102,1906,0.4071779534287545
convolutional neural network,OpenAIRE,convolutional neural network,OpenAlex,1.0,1607,2156,1491,0.65625
speech recognition,OpenAIRE,speech recognition,OpenAlex,1.0,1940,2420,1321,0.4346824613359658
spherical aberration,OpenAIRE,spherical aberration,OpenAlex,1.0,12,19,9,0.4090909090909091
assertiveness,OpenAIRE,assertiveness,OpenAlex,1.0,12,8,6,0.4285714285714285
scripting language,OpenAIRE,scripting language,OpenAlex,1.0,64,99,52,0.4684684684684684
rendering (computer graphics),OpenAIRE,rendering (computer graphics),OpenAlex,1.0,228,345,184,0.4730077120822622
molecular graphics,OpenAIRE,molecular graphics,OpenAlex,1.0,9,7,5,0.4545454545454545
python (programming language),OpenAIRE,python (programming language),OpenAlex,1.0,78,114,67,0.536
handwriting recognition,OpenAIRE,handwriting recognition,OpenAlex,1.0,63,43,31,0.4133333333333333
handwriting,OpenAIRE,handwriting,OpenAlex,1.0,91,92,60,0.4878048780487805
differential item functioning,OpenAIRE,differential item functioning,OpenAlex,1.0,9,7,5,0.4545454545454545
simulated annealing,OpenAIRE,simulated annealing,OpenAlex,1.0,185,180,136,0.5938864628820961
analogy,OpenAIRE,analogy,OpenAlex,1.0,134,166,90,0.4285714285714285
skeletonization,OpenAIRE,skeletonization,OpenAlex,1.0,22,20,17,0.68
jpeg,OpenAIRE,jpeg,OpenAlex,1.0,90,95,63,0.5163934426229508
